Sample_ID,Biomass_Type,Class,Subclass,Ash_db,VM_db,FC_db,C_db,H_db,N_db,S_db,O_db,CV_MJ/kg_db,Na2O,MgO,Al2O3,SiO2,P2O5,K2O3,CaO,TiO2,Mn3O4,Fe2O3,Other,State,Longitude,Latitude
78,Forestry,Stem,Hardwood (Eucalyptus),0.3,86.1,13.6,48.8,5.91,0.16,0.03,44.8,19.45,4.0,20.2,0.41,1.33,1.9,15.8,23.1,0.04,0.62,1.82,30.78,WA,117.4605272,-33.5703198
79,Forestry,Leaf/twig,Hardwood (Eucalyptus),2.6,77.5,19.9,52.4,6.41,1.0,0.06,37.53,21.64,8.0,10.5,0.25,0.76,7.8,15.3,24.2,0.01,0.7,0.29,32.19,WA,116.51376,-33.74194976
80,Forestry,Bark,Hardwood (Eucalyptus),3.0,76.0,21.0,46.8,5.45,0.3,0.03,44.42,18.2,2.64,23.4,0.11,0.28,4.5,5.9,30.7,0.01,1.28,0.2,30.98,WA,116.51376,-33.74194976
81,Forestry,Stem,Hardwood (Eucalyptus),0.4,86.0,13.6,48.6,6.52,0.25,0.02,44.21,19.18,3.2,14.5,0.27,1.02,14.0,18.2,26.4,0.02,1.0,0.46,20.93,WA,116.51376,-33.74194976
82,Forestry,Leaf/twig,Hardwood (Eucalyptus),3.7,79.2,17.1,53.5,6.21,0.83,0.06,35.7,21.67,2.91,8.3,0.47,1.52,2.7,8.7,35.7,0.02,0.55,2.43,36.7,WA,116.51376,-33.74194976
83,Forestry,Bark,Hardwood (Eucalyptus),6.4,73.5,20.1,45.9,5.23,0.34,0.03,42.1,16.51,1.03,9.2,0.25,0.36,1.0,2.65,43.0,0.01,0.19,0.13,42.18,WA,116.51376,-33.74194976
84,Forestry,Stem,Hardwood (Eucalyptus),0.5,86.6,12.9,48.9,6.05,0.13,0.02,44.4,19.02,3.2,12.6,0.47,0.52,8.3,20.3,23.6,0.02,0.24,1.71,29.04,WA,116.51376,-33.74194976
85,Forestry,Leaf/twig,Softwood (Maritine pine),2.4,78.2,19.4,51.5,6.3,1.01,0.09,38.7,20.7,2.09,16.3,2.08,3.5,8.9,17.3,21.2,0.1,0.47,1.88,26.18,WA,117.4605272,-33.5703198
86,Forestry,Bark,Softwood (Maritine pine),2.0,72.4,25.6,52.2,6.04,0.5,0.05,39.21,20.38,2.78,9.9,2.24,4.1,5.6,16.6,27.1,0.11,0.13,0.99,30.45,WA,117.4605272,-33.5703198
87,Forestry,Stem,Softwood (Maritine pine),0.3,84.4,15.3,50.3,6.1,0.21,0.02,43.07,19.66,1.4,16.3,0.54,1.9,4.4,18.6,24.8,0.03,0.24,0.74,31.05,WA,117.4605272,-33.5703198
88,Forestry,Leaf/twig,Softwood (Brutia pine),3.4,77.0,19.6,51.0,6.16,0.49,0.06,38.89,20.12,3.2,4.5,1.12,6.1,2.71,9.9,35.0,0.06,0.05,2.48,34.88,WA,115.7339,-33.7294
89,Forestry,Bark,Softwood (Brutia pine),5.0,74.5,20.5,46.3,5.58,0.3,0.04,42.78,17.58,0.94,3.1,0.46,0.83,0.89,3.9,45.1,0.01,0.01,0.13,44.63,WA,115.7339,-33.7294
90,Forestry,Stem,Softwood (Brutia pine),0.4,83.5,16.1,51.6,6.17,0.49,0.01,41.33,20.02,1.01,4.2,0.56,1.83,1.4,6.2,45.8,0.02,0.05,0.54,38.39,WA,115.7339,-33.7294
91,Forestry,Stem,Hardwood (Eucalyptus),0.4,83.8,15.8,50.2,5.78,0.09,0.02,43.51,18.94,3.2,7.9,0.3,0.6,3.4,13.4,31.6,0.01,1.3,1.47,36.82,ACT,149.0966991,-35.30278805
92,Forestry,Bark,Hardwood (Eucalyptus),1.9,74.7,23.4,50.4,5.42,0.16,0.02,42.1,19.44,2.31,14.0,0.26,0.62,1.0,7.9,34.1,0.01,2.12,0.74,36.94,ACT,149.0966991,-35.30278805
93,Forestry,Stem,Hardwood (Dogwood),0.4,88.6,11.0,51.3,6.09,0.05,0.02,42.14,19.37,2.4,5.7,2.87,10.5,1.3,12.5,24.4,0.47,0.31,11.5,28.05,TAS,147.0586036,-43.02935327
94,Forestry,Stem,Hardwood (Tea tree),0.5,85.4,14.1,50.1,5.91,0.06,0.03,43.4,19.57,6.2,8.0,0.86,2.1,1.3,17.7,24.5,0.04,2.46,1.62,35.22,TAS,147.0586036,-43.02935327
95,Forestry,Bark,Hardwood (Eucalyptus),0.2,88.0,11.8,49.1,5.95,0.09,0.01,44.65,18.71,10.6,6.2,5.2,15.7,3.2,20.4,10.6,0.35,0.86,6.6,20.29,TAS,147.0586036,-43.02935327
96,Forestry,Stem,Hardwood (Eucalyptus),0.1,87.2,12.7,50.3,5.52,0.06,0.02,44.0,19.65,6.8,7.9,2.32,7.0,2.3,13.9,18.1,0.18,4.7,9.1,27.7,TAS,147.0586036,-43.02935327
97,Industrial Processing,Timber industry,Timber waste (Softwood),0.2,86.2,13.6,50.1,6.02,0.05,0.01,43.62,19.25,1.3,7.1,2.62,7.7,1.3,11.5,26.1,0.2,1.34,14.6,26.24,SA,140.7804,-37.8284
98,Industrial Processing,Timber industry,Timber waste (Softwood),0.1,87.4,12.5,51.0,6.07,0.08,,42.75,19.37,,,,,,,,,,,,VIC,143.5919793,-38.31318735
99,Industrial Processing,Timber industry,Timber waste (Softwood),0.7,81.6,17.7,53.8,6.13,0.13,0.02,39.22,21.76,0.05,4.9,0.47,0.92,0.3,2.3,46.7,0.02,1.19,0.54,42.61,QLD,148.8039668,-26.56315519
100,Industrial Processing,Timber industry,Timber waste (Softwood),0.7,81.6,17.7,54.2,6.16,0.11,,38.83,21.76,,,,,,,,,,,,NSW,149.7709993,-30.21985604
101,Industrial Processing,Timber industry,Timber waste (Softwood),0.1,89.0,10.9,54.3,6.63,0.1,,38.87,21.41,,,,,,,,,,,,QLD,145.5026655,-17.61695047
